NER_DATA,TAG
ಸಮ್ಮೇಳನಾಧ್ಯಕ್ಷೆರ್,O
ಡಾ.ಗಣೇಶ,B-PER
ಅಮೀನ್,I-PER
ಸಂಕಮಾರ್,O
ಎಚ್ಚೆರ್ಗೆ,O
ಕೊರಿಯೆರ್.,O
*,O
ಆರ್,O
ಮುಲ್ಕಿ,B-LOC
ತಾಲೂಕು,B-GPE
ಕನ್ನಡ,O
ಸಾಹಿತ್ಯ,O
ಸಮ್ಮೇಳನದ,O
ಉದಿಪನದ,O
ಲೇಸ್,B-FUN
ಡ್,O
ಸಮ್ಮೇಳನಾಧ್ಯಕ್ಷೆರ್,O
ನ,O
ಭಾಷಣೊಡು,O
ಪಂಡೆರ್.,O
*,O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲೆಡ್,B-GPE
ಉಪ್ಪುನ,O
ಜಾತಿ,O
ಸಂಘಟನೆಲೆನ,O
ಅತಿಯಾಯಿನ,O
ಮೋಹ,O
Read,O
more…99,O
ಮುಲ್ಕಿ,B-LOC
ಕನ್ನಡ,O
ಶಾಲೆಲೆಗ್,B-ACD
ಮಾಸ್ಟ್ರ್,O
ನಕುಲು,O
ದಾಂತೆ,O
ಸರಿಯಾಯಿನ,O
ಸೌಲಭ್ಯದಾಂತೆ,O
ಓದರೆ,O
ಜೋಕುಲು,O
ದಾಂತೆ,O
ಮುಚ್ಚುನ,O
ಪರಿಸ್ಥಿತಿ,O
ಬೈದ್ಂಡ್.,O
*,O
ಅವೆನ್,O
ಸರಕಾರ,O
ಮಾತ್ರ,O
ಅತ್ರ್,O
ತುಳು,O
ಮಣ್ಣ್,O
ದ,O
ಕನ್ನಡಾಭಿಮಾನಿಲು,O
ಸಂಘ,B-ORG
ಸಂಸ್ಥೆಲು,I-ORG
ಒರಿಪಾವೊಡು,O
ಪಂದ್,O
ಕನ್ನಡ,B-ORG
ಸಾಹಿತ್ಯ,I-ORG
ಪರಿಷತ್ತ್,I-ORG
ದ,O
ಮಾಜಿ,O
ರಾಜ್ಯಾಧ್ಯಕ್ಷೆರ್,B-POL
ಡಾ.ಹರಿಕೃಷ್ಣ,B-PER
ಪುನರೂರು,I-PER
ತೆರಿಪಾಯೆರ್.,O
*,O
ಆರ್,O
ಮುಲ್ಕಿ,B-LOC
ತಾಲೂಕುದ,B-GPE
ಕಡೀರ್,O
ದ,O
ಕನ್ನಡ,B-ORG
ಸಾಹಿತ್ಯ,I-ORG
ಸಮ್ಮೇಳನನ್,O
ಕಾರ್ನಾಡ್,B-ACD
ಸರಕಾರಿ,I-ACD
ಪದವಿ,B-ORG
ಪೂರ್ವ,I-ORG
ಕಾಲೇಜಿದ,I-ORG
ಸಭಾಂಗಣಡ್,O
ಬುಧವಾರ,O
Read,O
more…100,O
ನಾರಾವಿ,O
ತುಳಸಿ,O
ಕ್ರಿಯೇಷನ್ಸ್,O
ದ,O
ಮುತಾಲಿಕೆಡ್,O
ಜ.1,B-DATE
ಸೋಮಾರ,O
ಶಿವ,O
ದೇವೆರ್,O
ಪನ್ಪುನ,O
ತುಳು,O
ಭಕ್ತಿ,O
ಸುಗಿಪು,O
ಬುಡುಗಡೆ,O
ಆವೆರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಭಕ್ತಿ,O
ಸುಗಿಪುಗು,O
ಸುಜಿತ್,B-PER
ಎಸ್,I-PER
ನಾರಾವಿ,O
ಸಾಹಿತ್ಯ,O
ಬೊಕ್ಕ,O
ನಿರ್ಮಾಣ,O
ಶಮಿತಾ,B-PER
ನಿಟ್ಟೆ,B-LOC
ಕಾರ್ಲ,O
ಗಾಯನ,O
ಬೊಕ್ಕ,O
ಅಭಿನಯ,O
7D,O
ಸಂತು,O
ವೀಡಿಯೋಗ್ರಫಿ,O
ಬೊಕ್ಕ,O
ಸಂಕಲನ,O
ಯಶವಂತ,B-PER
ಕುಲಾಲ್,I-PER
ಗಂಜಿಮಠ,B-LOC
ರೆಕಾರ್ಡಿಂಗ್,O
ಬೊಕ್ಕ,O
ಪ್ರಚಾರ,O
ಕಲೆ,O
ಕುಡ್ಲ,O
ರೆಮೊನಾ,B-PER
ಇವೆಟ್,I-PER
ಪಿರೇರಾ,O
ಭರತನಾಟ್ಯ,B-ENT
ಕಲಾವಿದೆಯಾದ್,O
ಅಭಿನಯ,O
Read,O
more…101,O
ಅಶಕ್ತರೆಗ್,O
ನಿರೆಲ್,O
ಕೊರ್ಪಿನ,O
ಮರತಲೆಕ,O
ಕರಿನ,O
ರಡ್ಡ್,O
ವರ್ಷರ್ದ್,O
45,B-NUM
ಲಕ್ಷರ್ದ್,O
ಎಚ್ಚ,O
ಸೇವೆದ,O
ಪಣವುನು,O
ಸಮಾಜಗ್,B-COM
ಅರ್ಪಣೆ,O
ಮಲ್ತ್,O
ದೆರ್.,O
*,O
ಧಾರ್ಮಿಕ,O
ಕ್ಷೇತ್ರದ,O
ಸೇವಾನಿಧಿ,O
ಯೋಜನೆ,O
ತುರ್ತು,B-MED
ಅಪಘಾತ,I-MED
ನಿಧಿಕಾರ್ಯಕರ್ತರೆಗ್,O
ಕ್ಷೇಮನಿಧಿ,O
ಬೊಕ್ಕ,O
ಮಹಾಯೋಜನೆದ,O
ಮುಖೆನ,O
ಸಮಾಜ‍ದ,O
ಕಟ್ಟಕಡೆತ,O
ವ್ಯಕ್ತಿಗ್,O
ಮುಟ್ಟಾವುನ,O
ಪ್ರಯತ್ನ,O
ಮಲ್ತೊಂದು,O
ಉಂಡು.,O
*,O
ಕ್ಯಾನ್ಸರ್,B-MED
ಪೀಡಿತರೆಗಾದ್,O
ಕೇಶದಾನ,O
ಯೋಜನೆ,B-ORG
ಯಶಸ್ವೀಯಾದ್,O
ಮುನ್ನಡೆಯೊಂದು,O
ಉಂಡು.,O
*,O
ಸೇವಾಪಥ,O
ಸುರು,O
ಆಯಿನ,O
ಭೂಕೈಲಾಸ,O
ಕಾರಿಂಜ,O
ಕದ್ರಿ,B-LOC
ಕ್ಷೇತ್ರಶ್ರೀ,I-LOC
ಕಡೇಶಿವಾಲಯ,I-LOC
ದೇಗುಲಡ್,O
Read,O
more…102,O
ಮುಲ್ಕಿ,B-LOC
ಗ್ರಾಮೀಣ,B-GPE
ಮಟ್ಟಡ್,O
ಕ್ರಿಕೆಟ್,B-SPT
ಆನ್,O
ಲೆಗ್,O
ಮಾತ್ರ,O
ಸೀಮಿತ,O
ಅವಂದೆ,O
ಪೊಣ್ಣು,O
ಜೋಕುಲುಲ,O
ಗೊಬ್ಬುವೆರ್.,B-SPT
*,O
ಅಕ್ಲೆಗ್,O
ಸರಿಯಾಯಿನ,O
ಮಾರ್ಗದರ್ಶನ,O
ತರಬೇತಿ,O
ಕೊರ್ಂಡ,O
ಸಾಧನೆ,O
ಮಲ್ಪುವೆರ್,O
ಪಂದ್,O
ಬೆಂಗ್ಲೂರು,B-LOC
ಬಸವೇಶ್ವರ,B-PER
ಕಾನೂನು,B-POL
ಪದವಿ,O
ಕಾಲೇಜ್,O
ದ,O
ಪ್ರಾಚಾರ‍್ಯೆ,O
ದೇವಿಕಾ,B-PER
ಎಸ್,I-PER
ಅಜಿಲ,I-PER
ಪಂಡೆರ್.,O
*,O
ಮೇರ್,O
ಕಿನ್ನಿಗೋಳಿ,B-LOC
ಕೈತಲ್ದ,O
ಐಕಳದ,O
ಪೊಂಪೈ,B-LOC
ಕಾಲೇಜ್,B-ORG
ದ,O
ಗೊಬ್ಬುನ,B-SPT
ಮೈದಾನಡ್,O
ಸಂಘಟನೆದ,O
ಮುಕೇನ,O
ಪುಗರ್ತೆ,O
ಪಡೆದಿಪ್ಪುನ,O
25,B-NUM
ವರ್ಷೊದಿಂಚ,O
ಪುದರ್,O
ಪಡೆಯಿನ,O
ಕೆ.ಎಫ್.ಸಿ,B-ORG
ಕೂಟದ,O
Read,O
more…103,O
ಉಬಾರ್,B-LOC
ಪೊಂಜೋವ್,B-COM
ನ,O
ಮಿತ್ತ್,O
ಪೆಟ್ಟ್,O
ಮಲ್ತ್,O
ದ್,O
ಬೊರ್ಚಂದಿನ,O
ನೆರ್ನ,O
ಕೇಸ್,O
ದ,O
ಬಗೆಟ್ಟ್,O
ಗಂಗಾಧರ,B-PER
ಪನ್ಪುನಾರೆನ,O
ಮಿತ್ತ್,O
ಉಬಾರ್,B-LOC
ಠಾಣೆಡ್,O
ಕೇಸ್,O
ದಾಖಲಾತ್ಂಡ್.,O
*,O
ಈ,O
ಬಗೆಟ್ಟ್,O
ಮೋಹಿನಿ,B-PER
ನೆಕ್ಕರಾಜೆ,I-PER
ಮೇರ್,O
ಉಬಾರ್,O
ಠಾಣೆಗ್,O
ದೂರು,O
ಕೊರ್ತೆರ್.,O
*,O
ದೂರು,O
ಸ್ವೀಕಾರ,O
ಮಲ್ತಿನ,O
ಉಬಾರ್,B-LOC
ಪೊಲೀಸೆರ್,O
ಆರೋಪಿನ,O
ಮಿತ್ತ್,O
ಕೇಸ್,O
ದಾಖಲ್,O
ಮಲ್ದೆರ್.,O
*,O
104,B-NUM
ಥಾಣೆ,O
ಮೀರಾರೋಡ್,O
ಅಯ್ಯಪ್ಪ,B-ORG
ಸೇವಾ,I-ORG
ಸಮಿತಿದ,I-ORG
ಮುತಾಲಿಕೆಡ್,O
ತುಳು,O
ಹರಿಕಥಾ,B-ENT
ಸಂಕೀರ್ತನೆ,I-ENT
ಏಕಾದಶಿ,O
ವೃತ,O
ಮಹಿಮೆ,O
ಡಿ.30,B-DATE
ಕ್ಕ್,O
ಮೀರಾರೋಡ್,O
ಅಯ್ಯಪ್ಪ,B-ORG
ಮಂದಿರಡ್,I-ORG
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ಲೇಸ್,B-FUN
ವಿಶ್ವೇಶ,O
ದಾಸ,O
ಹರಿಕಥಾ,O
ವಿದ್ವಾನ್,O
ಕೈರಬೆಟ್ಟು,B-LOC
ವಿಶ್ವನಾಥ,B-PER
ಭಟ್,I-PER
ಮೆರೆರ್ದ್,O
ನಡಪರೆ,O
ಉಂಡು,O
ಪಂದ್,O
ಲೆಪ್ಪೋಲೆಡ್,O
ತೆರಿಪಾದೆರ್.,O
*,O
105,B-NUM
ಕುಡ್ಲದ,B-LOC
ಸರ್ಕಾರಿ,B-ORG
ಪದವಿಪೂರ್ವ,I-ORG
ಬೊಕ್ಕ,O
ಪದವಿ,O
ಕಾಲೇಜ್,O
ಲೆಡ್,O
ಎಡ್ಡೆ,O
ರಿಸಲ್ಟ್,O
ದಾಖಲ್,O
ಮಲ್ಪುನ,O
ದಿಟ್ಟಿಡ್,O
ಶಿಕ್ಷಕೆರೆಗ್,B-ROL
ಬೊಕ್ಕ,O
ಪ್ರತಿಭಾವಂತ,O
ವಿದ್ಯಾರ್ಥಿಲೆಗ್,O
ಸನ್ಮಾನದ,B-FUN
ಮುಕೇನ,O
ಪ್ರೋತ್ಸಾಹ,O
ಬೊಕ್ಕ,O
ನನದ,O
ದಿನಟ್ಟ್,O
ವಿದ್ಯಾರ್ಥಿಲೆಗ್,O
ಕೌನ್ಸೆಲಿಂಗ್,O
ಸುರು,O
ಮಲ್ಪುನ,O
ದಿಟ್ಟಿಡ್,O
ಸುರುಕು,O
ಶಿಕ್ಷಕೆರೆಗ್,B-ROL
ಇಸೇಸ,O
ತರಬೇತಿ,O
ಲೇಸ್,B-FUN
ನ್,O
ಶಾಸಕೆರ್,B-POL
ವೇದವ್ಯಾಸ,B-PER
ಕಾಮತ್,I-PER
ಮೆರೆನ,O
ಮುತಾಲಿಕೆಡ್,O
ಏರ್ಪಾಡ್,O
ಮಲ್ದೆರ್.,O
*,O
ಅತ್ತಂದೆ,O
ಉಂದುವೇ,O
ಬರ್ಪಿನ,O
ಡಿ.30,B-NUM
ಸನಿಯಾರದಾನಿ,O
ಲಾಲ್,B-LOC
ಬಾಗ್,I-LOC
ದ,O
ಮಣ್ಣಗುಡ್ಡೆ,B-LOC
ಮಾರ್ಗಡ್,O
Read,O
more…106,O
ಪುತ್ತೂರು,B-LOC
ಪುತ್ತೂರು,I-LOC
ಶ್ರೀ,O
ಮಹಾಲಿಂಗೇಶ್ವರ,O
ದೇವಲ್ಯಡ್,O
ಶ್ರೀ,O
ಅಯ್ಯಪ್ಪ,O
ದೀಪೋತ್ಸವ,B-FUN
ಬ್ರಹ್ಮಶ್ರೀ,O
ಕುಂಟಾರು,O
ರವೀಶ,O
ತಂತ್ರಿಲೆನ,O
ಮುತಾಲಿಕೆಡ್,O
ಡಿ.27,B-DATE
ಕ್ಕ್,O
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಬೊಲ್ಪುಗು,O
ದೇವೆರೆನ,O
ಪ್ರಾರ್ತನೆ,O
ಗಣಪತಿ,B-FUN
ಹವನ,I-FUN
ಭಜನೆ,I-FUN
ಶ್ರೀ,O
ಅಯ್ಯಪ್ಪ,O
ಗುಡಿಟ್ಟ್,O
ಶ್ರೀ,O
ಅಯ್ಯಪ್ಪ,O
ದೇವೆರೆಗ್,O
ದ್ರವ್ಯ,O
ಭಸ್ಮ,O
ಸುವಸ್ತುಲೆರ್ದ್,O
ಅಭಿಷೇಕ,O
ಮಧ್ಯಾಹ್ನ,O
ಮಹಾಪೂಜೆ,B-FUN
ಅನ್ನ,O
ಪ್ರಸಾದ,O
ಸೇವೆ,O
ಬಯ್ಯಗ್,O
ಬೊಳುವಾರು,B-LOC
ಶ್ರೀ,O
ಆಂಜನೇಯ,O
ಮಂತ್ರಾಲಯರ್ದ್,O
ಪಾಲ್,O
ಕೊಂಬು/,O
ಪಾಲಶ,O
ಮರತ್ತ,O
ಕೊಂಬೆದ,O
ಮೆರವಣಿಗೆ,O
ರಾತ್ರೆ,O
Read,O
more…107,O
ಪಾಕಿಸ್ತಾನ,B-LOC
ಪಾಕಿಸ್ತಾನಡ್,I-LOC
ತೆತ್ತಿದ,O
ಕಿರಯ,O
ಎಚ್ಚಾವೊಂದು,O
ಉಂಡು.,O
*,O
ಮುಲ್ಪ,O
ಒಂಜಿ,O
ತೆತ್ತಿಗ್,O
30,B-NUM
ರೂ.,O
*,O
ಆತ್ಂಡ್.,O
*,O
ಒಂಜಿ,O
ಡಜನ್​,O
ತೆತ್ತಿದ,O
ಕಿರಯ,O
360,B-NUM
ರೂ.,O
*,O
ಪಂಡ,O
30,B-NUM
ಡಜನ್,O
ತೆತ್ತಿದ,O
ಕಿರಯ,O
10500,B-NUM
ರೂ.,O
*,O
ರ್ದ್,O
12500,B-NUM
ರೂ.,O
*,O
ಗ್,O
ಎಚ್ಚಾತ್ಂಡ್,O
ಪಂದ್,O
ಪಾಕಿಸ್ತಾನದ,B-LOC
ಮಾಧ್ಯಮಲು,O
ವರದಿ,O
ಮಲ್ದ್ಂಡ್.,O
*,O
108,B-NUM
ಅಯೋಧ್ಯೆ,B-LOC
ರಾಮಮಂದಿರ,O
ಜ.22,B-DATE
ಕ್ಕ್,O
ಉದಿಪನ,O
ಆವೆರೆ,O
ಉಂಡು.,O
*,O
ಅಂಚಾದ್,O
ಇಡೆಗ್,O
ತಮಿಳುನಾಡ್,B-LOC
ರ್ದ್,O
1200,B-NUM
ಕೆಜಿ,O
ತೂಕದ,O
ಒಟ್ಟು,O
42,B-NUM
ಘಂಟೆನ್,O
ಕನದೆರ್.,O
*,O
ನಾಮಕ್ಕಲ್,O
ಜಿಲ್ಲೆಡ್,B-GPE
ತಯಾರ್,O
ಮಲ್ತಿನ,O
ಈ,O
ಘಂಟೆಗ್,O
ಇಸೇಸ,O
ಪೂಜೆ,B-FUN
ಸಂದಾದ್,O
ಬೊಕ್ಕ,O
ರಾಮಜನ್ಮಭೂಮಿಗ್,O
ಕಡಪಾದೆರ್.,O
*,O
ಈ,O
ಬಗೆಟ್ಟ್,O
ಆಂಡಾಲ್,O
ಮೋಲ್,O
ಡಿಂಗ್,O
ವರ್ಕ್ಸ್,O
ದ,O
ಧಣಿ,O
ಆರ್.,O
*,O
ರಾಜೇಂದ್ರನ್,B-PER
ಪಾತೆರ್ದ್,O
ಒಂಜಿ,O
ಘಂಟೆಗ್,O
1200,B-NUM
ರೂ.,O
*,O
ಆಪುಂಡು.,O
*,O
ಆಂಡ,O
ರಾಮಮಂದಿರಗ್,O
ಕೇವಲ,O
600,B-NUM
Read,O
more…109,O
ತಿರುಪತಿ,O
ತಿರುಮಲ,O
ಶ್ರೀವಾರಿ,O
ಕಾಣಿಕೆ,O
ಡಬ್ಬಿಡ್,O
ಡಿ.24,B-DATE
ಐತಾರ,O
ಒಂಜೇ,O
ದಿನ,O
5.5,B-NUM
ಕೋಟಿ,O
ರೂ.,O
*,O
ಆದಾಯ,O
ಬೈದ್ಂಡ್,O
ಪಂದ್,O
ಟಿಟಿಡಿ,O
ಅಧಿಕಾರಿಲು,B-POL
ತೆರಿಪಾದೆರ್.,O
*,O
ಡಿ.25,B-DATE
ಕ್ಕ್,O
63519,B-NUM
ಭಕ್ತೆರ್,O
ಸ್ವಾಮಿನ,O
ದರ್ಶನ,O
ಪಡೆತೆರ್.,O
*,O
ಉಂದುವೇ,O
ಡಿ.23,B-DATE
ಕ್ಕ್,O
ವೈಕುಂಠ,O
ದ್ವಾರದ,O
ದರ್ಶನ,O
ಸುರು,O
ಆತ್ಂಡ್.,O
*,O
ನನ,O
ಜ.1,B-DATE
ಮುಟ್ಟ,O
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
110,B-NUM
ಇಸ್ಲಾಮಾಬಾದ್,O
ಪಾಕಿಸ್ತಾನಡ್,B-LOC
ಫೆ.8,B-DATE
ಕ್ಕ್,O
ಸಾರ್ವತ್ರಿಕ,O
ವೋಟು,O
ನಡಪರೆ,O
ಉಂಡು.,O
*,O
ಈ,O
ವೋಟುಗು,O
ಸುರುತ್ತ,O
ಸರ್ತಿ,O
ಹಿಂದೂ,O
ಪೊಂಜೋವ್,B-COM
ಒರ್ತಿ,O
ನಾಮಪತ್ರ,O
ಸಂದಾದೆರ್,O
ಪಂದ್,O
ಅಲ್ಪದ,O
ಮಾಧ್ಯಮವೊಂಜಿ,O
ವರದಿ,O
ಮಲ್ದ್ಂಡ್.,O
*,O
ಖೈಬರ್,O
ಪಖ್ತುಂಖ್ವಾದ,O
ಬುನೇರ್,O
ಜಿಲ್ಲೆಡ್,B-GPE
ಸವೀರಾ,B-PER
ಪ್ರಕಾಶ್,I-PER
ಪನ್ಪುನ,O
ಹಿಂದೂ,O
ಪೊಂಜೋವ್,B-COM
PK25,O
ತ್ಯ,O
ಸಾಮಾನ್ಯ,O
ತಾನಗ್,O
ಅಧಿಕೃತವಾದ್,O
ನಾಮಪತ್ರ,O
ಸಂದಾದೆರ್.,O
*,O
ಮೇರ್,O
ಪಾಕಿಸ್ತಾನ,B-LOC
ಪೀಪಲ್ಸ್,B-POL
ಪಾರ್ಟಿ,I-POL
(ಪಿಪಿಪಿ),O
ಟಿಕೆಟ್,O
ಡ್,O
ವೋಟುಗು,B-POL
ಉಂತಿಯೆರೆ,O
ತಯಾರಿ,O
ಮಲ್ತೊಂದೆರ್.,O
*,O
ಸವೀರಾ,O
Read,O
more…111,O
ಬಂಟ್ವಾಳ,B-LOC
ಹೊಕ್ಕಾಡಿಗೋಳಿ,B-LOC
ಶ್ರೀ,O
ಮಹಿಷಮರ್ದಿನಿ,B-PER
ಕಂಬುಲ,B-ENT
ಸಮಿತಿದ,B-ORG
ಮುತಾಲಿಕೆಡ್,O
ಮಾ.16,B-DATE
ಕ್ಕ್,O
ನಡಪುನ,O
ಪುಗರ್ತೆದ,O
ಹೊಕ್ಕಾಡಿಗೋಳಿ,B-LOC
ಶ್ರೀ,O
ವೀರ,O
ವಿಕ್ರಮ,O
ಜೋಡುಕರೆ,B-LOC
ಬಯಲು,O
ಕಂಬುಲದ,B-ENT
ಕರೆ,O
ಮೂರ್ತ,O
ನಡತ್ಂಡ್.,O
*,O
ಪೂಂಜ,B-PER
ಶ್ರೀ,I-PER
ಪಂಚ,B-ORG
ದುರ್ಗಾಪರಮೇಶ್ವರಿ,I-ORG
ದೇವಲ್ಯದ,O
ಕೃಷ್ಣ,B-PER
ಪ್ರಸಾದ್,I-PER
ಆಸ್ರಣ್ಣೆರ್,I-PER
ಈ,O
ಲೇಸ್,B-FUN
ವೈದಿಕ,O
ವಿಧಿವಿಧಾನನ್,O
ಮಲ್ತೆರ್.,O
*,O
ಈ,O
ಪೊರ್ತುಡು,O
ಹೊಕ್ಕಾಡಿಗೋಳಿ,B-LOC
ಕಂಬುಲ,B-ENT
ಸಮಿತಿದ,B-ORG
ಗುರ್ಕಾರೆ,B-ROL
ರಶ್ಮಿತ್,B-PER
ಶೆಟ್ಟಿ,I-PER
ಕೈತ್ರೋಡಿ,B-LOC
ನೊಣಲ್,O
ಗುತ್ತು,O
ಮಾನಾದಿಗೆದ,O
ಗುರ್ಕಾರೆ,O
ಸಂಜೀವ,B-PER
ಶೆಟ್ಟಿ,I-PER
ಗುಂಡ್ಯಾರು,O
Read,O
more…112,O
ದಾನ,O
ಮಲ್ತ್ದ್,O
ಬದ್ಕ್ನ್,O
ಪೊರ್ಲು,O
ಮಲ್ಪುಲೆ;,O
ರಮೇಶ್,B-PER
ಅರವಿಂದ್,I-PER
ಕುಡ್ಲ,B-LOC
ನಿಷ್ಠೆಡ್,O
ಬೇಲೆ,O
ಮಲ್ತ್ದ್,O
ಜನಕ್ಲೆನ,B-COM
ವಿಶ್ವಾಸ,O
ಪಡೆಂಡ,O
ಸಮಾಜಡ್,O
ಮಿತ್ತ್ದ,O
ತಾನೊಗ್,O
ಪೋಯರೆ,O
ಸಾಧ್ಯ.,O
*,O
ಇಂಚಿನ,O
ವಿಶೇಷ,O
ಗುಣ,O
ಇಪ್ಪುನ,O
ಉದ್ಯಮಿ,O
ಪ್ರಕಾಶ್,B-PER
ಶೆಟ್ಟಿ,I-PER
ಮೇರ್,O
ತನ್ನ,O
ನಿಸ್ವಾರ್ಥವಾಯಿನ,O
ದಾನ,O
ಧರ್ಮದ,O
ಮುಕೇನ,O
ಬದ್ಕ್ನ್,O
ಸಾರ್ಥಕತೆ,O
ಮಲ್ತ್ದೆರ್,O
ಪಂದ್,O
ಪುಗರ್ತೆದ,O
ಸಿನೆಮಾ,B-ENT
ನಟೆ,B-ROL
ರಮೇಶ್,B-PER
ಅರವಿಂದ್,I-PER
ಪಂಡೆರ್.,O
*,O
ಮೇರ್,O
ಪೇಂಟೆದ,B-LOC
ಬಂಗ್ರಕೂಳೂರ್ದ,O
ಗೋಲ್ಡ್,O
ಫಿಂಚ್,O
ಸಿಟಿಟ್ಟ್,O
ಡಿ.25,B-DATE
ಕ್ಕ್,O
Read,O
more…113,O
ಹಳೆಯಂಗಡಿ,B-LOC
ಯೇಸು,O
ಕ್ರಿಸ್ತೆರ್,O
ಶಾಂತಿದ,O
ದೂತೆರಾದ್,O
ಈ,O
ಲೋಕಗ್,O
ಬತ್ತೆರ್.,O
*,O
ಅರೆನ,B-COM
ಜೀವಿತಾವಧಿಡ್,O
ಕ್ಷಮೆತ್ತ,O
ಮಲ್ಲ,O
ಗುಣತ್ತ,O
ಒಟ್ಟಿಗೆ,O
ಶಾಂತಿದೂತೆರಾದಿತ್ತೆರ್.,O
*,O
ಮೆರೆನ,B-COM
ಆದರ್ಶನ್,O
ನಮ,O
ಪಾಲನೆ,O
ಮಲ್ಪುಗ,O
ಪಂದ್,O
ಹಳೆಯಂಗಡಿ,B-LOC
ಸಿಎಸ್ಐ,O
ಅಮ್ಮನ್,O
ಮೆಮೋರಿಯಲ್,B-ORG
ಚರ್ಚ್,I-ORG
ದ,O
ಸಭಾ,O
ಪಾಲಕೆರ್,O
ರೆ.,O
*,O
ಅಮೃತ್,B-PER
ರಾಜ್,I-PER
ಖೋಡೆ,O
ಪಂಡೆರ್.,O
*,O
ಮೇರ್,O
ಹಳೆಯಂಗಡಿ,B-LOC
ಸಿಎಸ್ಐ,O
ಅಮ್ಮನ್,B-FAM
ಮೆಮೋರಿಯಲ್,O
ಚರ್ಚ್,O
ಡ್,O
ನಡತಿನ,O
ಕ್ರಿಸ್ಮಸ್,B-FUN
ಇಸೇಸ,I-FUN
ಲೇಸ್,I-FUN
ಡ್,O
ಪಾತೆರಿಯೆರ್.,O
*,O
ಮಣಿಪಾಲದ,B-LOC
ಸಿಎಸ್ಐ,O
Read,O
more…114,O
ತಿರುವನಂತಪುರಂ,O
ತಿರುವನಂತಪುರಂದ,B-LOC
ನೆಯ್ಯಾಟಿಂಕರಾಡ್,O
ಡಿ.25,B-DATE
ಸೋಮಾರ,O
ಕ್ರಿಸ್,B-FUN
ಮಸ್,I-FUN
ಆಚರಣೆಗಾದ್,O
ಸ್ಥಾಪನೆ,O
ಮಲ್ತಿನ,O
ತಾತ್ಕಾಲಿಕ,O
ಸಂಕ,O
ಬೂರ್ದು,O
ಸುಮಾರ್,O
ಜನಕ್ಕ್,B-COM
ಪೆಟ್ಟಾತ್ಂಡ್.,B-MED
*,O
ಈ,O
ಘಟನೆಡ್,O
ಪೆಟ್ಟಾಯಿನಕ್ಲೆನ್,B-MED
ಆಸ್ಪತ್ರೆಗ್,I-MED
ದಾಖಲ್,O
ಮಲ್ದೆರ್.,O
*,O
ಈ,O
ಬಗೆಟ್ಟ್,O
ಎಚ್ಚದ,O
ಪೊಲಬು,O
ನನ,O
ಗೊತ್ತಾವೊಡಾತೆ.,O
*,O
115,B-NUM
ಖನಿಜಾಂಶ,O
ವಿಟಮಿನ್,B-MED
ಬೊಕ್ಕ,O
ನಾರಿನಾಂಶ,O
ಇಪ್ಪುನ,O
ಪೆಲಕಾಯಿಡ್,O
ನೈಸರ್ಗಿಕ,O
ವಿರೇಚಕ,O
ಗುಣ,O
ಉಂಡು.,O
*,O
ಉಂದು,O
ಜೀರ್ಣಕ್ರಿಯೆ,B-MED
ವ್ಯವಸ್ಥೆದ,O
ಸಮಸ್ಯೆನ್,O
ದೂರ,O
ಮಲ್ಪುಂಡು.,O
*,O
ವಿಟಮಿನ್ಎ,B-MED
ಇಪ್ಪುನ,O
ಈ,O
ಪರ್ಂದ್,O
ತಿನ್ಪುನೆರ್ದ್,O
ಕಣ್ಣ್,B-MED
ಗ್,O
ಎಡ್ಡೆ.,O
*,O
ಪೆಲಕಾಯಿ,O
ಪರ್ಂದ್,O
ಡ್,O
ಕೊಲೆಸ್ಟ್ರಾಲ್,B-MED
ಬೊಕ್ಕ,O
ಅನಾರೋಗ್ಯಕರ,B-MED
ಕೊಬ್ಬು,I-MED
ಇಜ್ಜಂದಿನ,O
ಗುಣ,O
ಉಂಡು.,O
*,O
ನಾರ್,O
ದ,O
ಅಂಶ,O
ಎಚ್ಚ,O
ಇಪ್ಪುರ್ನೆದಾವೆರ,O
ಕರ್ಲ್,O
ನ್,O
ರಕ್ಷಣೆ,O
ಮಲ್ಪುಂಡು.,O
*,O
ಮಲಬದ್ಧತೆನ್,O
ನಿವಾರಣೆ,O
ಮಲ್ಪುಂಡು.,O
*,O
ಅತ್ತಂದೆ,O
ಶ್ವಾಸಕೋಶ,B-MED
ಬೊಕ್ಕ,O
ಕೆಲವು,O
Read,O
more…116,O
ಬಿಜೆಪಿ,B-ORG
ಕೇಂದ್ರ,I-ORG
ಕಚೇರಿಡ್,I-ORG
ಎಲ್ಲೆ,O
ಪೊಸ,O
ಪದುಕೆರೆನ,O
ಸಭೆನ್,O
ಆಯೋಜನೆ,O
ಮಲ್ದ್ಂಡ್,O
ಪಂದ್,O
ರಾಜ್ಯಾಧ್ಯಕ್ಷೆರ್,B-POL
ಬಿ.ವೈ,B-PER
ವಿಜಯೇಂದ್ರ,I-PER
ತೆರಿಪಾದೆರ್.,O
*,O
