Words,NER Tag
ಕೊರೋನಾ,B-MED
ಲಾಕ್​ಡೌನ್,B-POL
ಪೊರ್ತುಡು,B-DATE
ಇಲ್ಲಡೆ,B-FAM
ಕುಲ್ದು,O
ದಿನದೆತ್ತಿನಕ್ಲೆನ,B-DATE
ನಡುಟು,O
ಇಲ್ಲಡೆ,B-FAM
ಇತ್ತುದು,O
ಅವ್ವೆತೋ,O
ಸಾಧನೆ,B-ACD
ಮಲ್ತಿನಕುಲುಲಾ,O
ಉಲ್ಲೆರ್,O
.,O
ಕೊರೋನಾ,B-MED
ಲಾಕ್ಡೌನ್,B-POL
ಕೆಲವೆರೆಗ್,O
ಸಂಕಷ್ಟದ,O
ಸರಮಾಲೆಯಾದ್,O
ಬಂಗ,O
ಕೊರುಂಡ,O
ನನ,O
ಕೆಲವೆರೆಗ್,O
ಪೊಸ,O
ಜೀವನ,O
ಕೊರ್ತುಂಡು,O
.,O
ಇಂಚಿನನೇ,O
ಪೊಸ,O
ಪ್ರಯತ್ನ,O
ಮಲ್ತಿನ,O
ಪುತ್ತೂರ್ದ,B-LOC
ಜವನ್ಯೆ,B-FAM
ಸುರುತ್ತ,O
ಕೊರೋನ,B-MED
ಅಲೆಕ್,I-MED
ಪಾಡಿನ,O
ಯೋಜನೆ,B-POL
ರಡ್ಡನೆ,O
ಅಲೆಕ್,B-MED
ಯಶಸ್ವಿಯಾತುಂಡು,O
.,O
ಕೊರೋನಗ್,B-MED
ಬಲಿ,I-MED
ಆಯಿನ,O
ಏಳ್,O
ತಿಂಗೊಲ್ದ,B-DATE
ಬಂಜಿನ,B-FAM
ಪ್ರೊಬೇಷನರಿ,B-ROL
ಪೊಲೀಸ್,I-ROL
ಇನ್ಸ್ಪೆಕ್ಟರ್,I-ROL
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಪೊಲೀಸ್,B-ORG
ಠಾಣೆಡ್,I-ORG
ಪ್ರೊಬೇಷನರಿ,B-ROL
ಮಹಿಳಾ,I-ROL
ಪೊಲೀಸ್,I-ROL
ಇನ್ಸ್ಪೆಕ್ಟರ್,I-ROL
24,B-NUM
ವರ್ಷದ,B-DATE
ಶಾಮಿಲಿ,B-PER
ಕೋವಿಡ್ರ್ದ್,B-MED
ತೀರ್ಪೋಯೆರ್,B-FAM
.,O
ಕೋಲಾರ,B-LOC
ಮೂಲದ,O
ಶಾಮಿಲಿ,B-PER
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಪೊಲೀಸ್,B-ORG
ಠಾಣೆಡ್,I-ORG
ಬೇಲೆಡ್,B-ACD
ಇತ್ತೆರ್,O
7,B-NUM
ತಿಂಗೊಲ್ದ,B-DATE
ಬಂಜಿನಾರ್,B-FAM
ಲಾ,O
ಆದಿತ್ತೆರ್,O
.,O
ಬಾರಿ,O
ಎಲ್ಯ,O
ಪ್ರಾಯೋಡೆ,O
ಮಾರಕ,O
ಕೊರೋನಾಗ್,B-MED
ಬಲಿಯಾಯೆರ್,B-FAM
ಪಂದ್,O
ಡಿಜಿಪಿ,B-ROL
ಪ್ರವೀಣ್,B-PER
ಸೂದ್,I-PER
ಟ್ವೀಟ್,B-ENT
ಮಲ್ದೆರ್,O
.,O
ಶಾಮಿಲಿ,B-PER
ಕೋಲಾರದ,B-LOC
ಆರ್,O
ಎಲ್,B-ORG
ಜಾಲಪ್ಪ,I-ORG
ಆಸ್ಪತ್ರೆಡ್,I-ORG
ತೀರ್ಪೋಯೆರ್,B-FAM
ಪಂದ್,O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಸೂಪರಿಂಡೆಂಟ್,B-ROL
ರಿಷಿಕೇಶ್,B-PER
ಸೋನಾವಾನೆ,I-PER
ಟ್ವೀಟ್,B-ENT
ಮಲ್ದೆರ್,O
.,O
ಹೋಪ್,B-ORG
ಫೌಂಡೇಶನ್,I-ORG
ವತಿರ್ದ್,O
ವನಸ್,B-LEF
ಹೋಪ್,B-ORG
ಫೌಂಡೇಶನ್,I-ORG
ಕುಡ್ಲ,I-ORG
ನೆತ್ತ,O
ವತಿರ್ದ್,O
ಲಾಕ್ಡೌನ್,B-MED
ಪೊರ್ತುಡು,B-DATE
ಕುಡ್ಲ,B-LOC
ನಗರ,I-LOC
ವ್ಯಾಪ್ತಿದ,I-LOC
ಉಲಯಿದ,O
ಆಸ್ಪತ್ರೆಡ್,B-ORG
ಉಪ್ಪುನ,O
ರೋಗಿಲು,B-MED
ಬೊಕ್ಕ,O
ಅಕ್ಲೆನ,O
ಒಟ್ಟುಗು,O
ಉಪ್ಪುನಕ್ಲೆಗ್,O
ಮಧ್ಯಾಹ್ನ,B-DATE
",",O
ರಾತ್ರಿದ,B-DATE
ವನಸ್ದ,B-LEF
ವ್ಯವಸ್ಥೆ,B-ACD
ಮಲ್ದೆರ್,O
.,O
ಮಧ್ಯಾಹ್ನದ,B-DATE
ವನಸ್ಗಾದ್,B-LEF
ಜಾಗೆ,B-LOC
ಬೊಕ್ಕ,O
ಜನಕ್ಲೆನ,B-COM
ಲೆಕ್ಕನ್,O
ಕಾಂಡೆ,B-DATE
10,B-NUM
ಗಂಟೆದುಲಯಿ,B-DATE
ಅಂಚನೆ,O
ರಾತ್ರಿದ,B-DATE
ವನಸ್ಗಾದ್,B-LEF
ಬೈಯ್ಯಗ್,B-DATE
4,B-NUM
ಗಂಟೆದ,B-DATE
ಉಲಯಿ,O
ತೆರಿಪಾವೊಡು,O
ಪಂದ್,O
ಸಂಘಟಕೆರ್,B-ROL
ಮನವಿ,B-ACD
ಮಲ್ದೆರ್,O
.,O
ಪುದರ್,B-ACD
ನೋಂದಾವಣೆ,I-ACD
ಮಲ್ಪರೆ,O
ಹಬೀಬ್:,B-PER
8151061234,B-NUM
",",O
ಮುನಾಫಿಲ್:,B-PER
9743434326,B-NUM
ಮೆಕ್ಲೆಗ್,O
ಲೆಪ್ಪು,O
ಕೊರಿಯರೆ,O
ಹೋಪ್,B-ORG
ಫೌಂಡೇಶನ್,I-ORG
ನೆತ್ತ,O
ಸೈಫ್,B-PER
ಸುಲ್ತಾನ್,I-PER
ತೆರಿಪಾದೆರ್,O
.,O
ಹಳ್ಳಿ,B-GPE
ಹಳ್ಳಿಗ್,I-GPE
ವೈದ್ಯೆರ್ನ,B-ROL
ಕೂಟ,B-COM
ಯೋಜನೆ,B-POL
:,O
ಸಚಿವ,B-PER
ಆರ್.,I-PER
ಅಶೋಕ್,I-PER
ಗ್ರಾಮೀಣ,B-LOC
ಪ್ರದೇಶಡ್,I-LOC
ಕೊರೋನ,B-MED
ಪ್ರಕರಣಲು,B-POL
ಜಾಸ್ತಿ,O
ಆವೊಂದು,O
ಉಪ್ಪುನ,O
ನೆಲೆಟ್ಟ್,O
ಬೆಂಗಳೂರು,B-LOC
ಗ್ರಾಮಾಂತರ,I-LOC
ಜಿಲ್ಲೆಡ್,B-GPE
ಜಾರಿಗ್,B-POL
ಕಂದಿನ,O
ಹಳ್ಳಿದ,B-GPE
ಕಡೆ,O
ವೈದ್ಯರ,B-ROL
ಕೂಟ,B-COM
ಪೈಲೆಟ್,B-POL
ಯೋಜನೆನ್,I-POL
ಇಡೀ,O
ರಾಜ್ಯಡ್,B-GPE
ಜಾರಿಗ್,B-POL
ಕನರೆ,O
ಕ್ರಮ,B-POL
ದೆತೊನೊಡು,O
ಈ,O
ಬಗ್ಗೆ,O
ಆದೇಶ,O
ಕೊರಿಯರೆ,O
ರಾಜ್ಯ,B-ROL
ಪ್ರಿನ್ಸಿಪಾಲ್,I-ROL
ಸೆಕ್ರೆಟರಿಗ್,I-ROL
ಸೂಚನೆ,B-POL
ಕೊರೊಡು,O
ಪಂದ್,O
ರಾಜ್ಯ,B-ROL
ಕಂದಾಯ,I-ROL
ಸಚಿವ,I-ROL
ಆರ್.ಅಶೋಕ್,B-PER
ತೆರಿಪಾದೆರ್,O
.,O
ಪ್ರತಿ,O
ತಾಲೂಕುಡು,B-GPE
15,B-NUM
ವೈದ್ಯೆರ್,B-ROL
",",O
40,B-NUM
ನರ್ಸಿಂಗ್,B-ROL
ಸಿಬ್ಬಂದಿಲುಪ್ಪುನ,I-ROL
ಕೂಟ,B-COM
15,B-NUM
ಗಾಡಿಡ್,B-TRS
ಪ್ರತಿ,O
ರಡ್ಡ್,O
ದಿನಕೊರ,B-DATE
ಹಳ್ಳಿಗ್,B-GPE
ಪೋದು,O
ಜನಕ್ಲೆನ,B-COM
ಪರೀಕ್ಷೆ,B-ACD
ಮಲ್ಪೊಡು,O
.,O
ಅಗತ್ಯ,O
ಇತ್ತುಂಡ,O
ಚಿಕಿತ್ಸೆ,B-MED
ಕೊರ್ಪಿನತ್ತಂದೆ,O
",",O
ಜಾಸ್ತಿದ,O
ಚಿಕಿತ್ಸೆಗಾದ್,B-MED
ತಾಲೂಕು,B-GPE
ಆಸ್ಪತ್ರೆಡ್,B-ORG
ದಾಖಲ್,B-MED
ಮಲ್ಪರೆ,O
ವ್ಯವಸ್ಥೆ,B-ACD
ಮಲ್ಪೊಡು,O
ಪಂದ್,O
ಪಂಡೆರ್,O
.,O
ಅಪಘಾತಾಡ್,B-MED
ಗಂಭೀರ,B-MED
ಗಾಯ,I-MED
ಆದ್,O
ರಡ್ಡ್,O
ತಿಂಗೊಲುರ್ದು,B-DATE
ಆಸ್ಪತ್ರೆಡ್,B-ORG
ಇತ್ತಿನ,O
ಜವನ್ಯೆ,B-FAM
ಸಾವು,B-FAM
ಬಂಟ್ವಾಳ,B-LOC
ಅಪಘಾತಡ್,B-MED
ಗಂಭೀರ,B-MED
ಗಾಯ,I-MED
ಆದ್,O
ಕರಿನ,B-DATE
ರಡ್ಡ್,O
ತಿಂಗೊಲುರ್ದು,B-DATE
ಖಾಸಗಿ,B-ORG
ಆಸ್ಪತ್ರೆಡ್,I-ORG
ತೀವ್ರ,B-MED
ನಿಗಾ,I-MED
ಘಟಕಡ್,I-MED
ಮರ್ದ್,B-MED
ದೆತೊನೊಂದು,O
ಉಪ್ಪುನ,O
ಜವನ್ಯೆ,B-FAM
ಇನಿ,B-DATE
ಮರ್ದ್,B-MED
ಫಲಕಾರಿಯಾವಂದೆ,O
ತೀರ್ಪೋತೆರ್,B-FAM
.,O
ಬಂಟ್ವಾಳ,B-LOC
ಬಿ.ಕಸ್ಬಾ,B-LOC
ಗ್ರಾಮದ,I-LOC
ಮುಗ್ಡಾಲ್,B-LOC
ಗುಡ್ಡೆ,I-LOC
ನಿವಾಸಿ,B-FAM
ವಿನಯ್,B-PER
-24,B-NUM
ತೀರ್ಪೋಯಿನ,B-FAM
ಆಣ್,B-FAM
.,O
ಪಾದೂರು,B-LOC
ಐ.ಎಸ್‌.ಪಿ.ಆರ್‌.ಎಲ್,B-POL
ಯೋಜನೆ,I-POL
ಖಾಸಗೀಕರಣ,I-POL
:,O
ಕಾಂಗ್ರೆಸ್,B-ORG
ವತಿರ್ದ್,O
ಜನಾಂದೋಲನ,B-POL
ಯಾತ್ರೆ,I-POL
:,O
ಸೊರಕೆ,B-LOC
ದೇಶದ,B-GPE
ಆತಂಕರಿಕ,B-POL
ಭದ್ರತೆ,I-POL
",",O
ರಕ್ಷಣೆ,B-POL
ಬೊಕ್ಕ,O
ಆಪತ್,B-POL
ಕಾಲದ,B-DATE
ಬಂಗದ,O
ಪೊರ್ತುಡು,B-DATE
ಬಳಕೆಗ್,O
ಬೋಡಾಪಿನ,O
ಕಚ್ಚಾತೈಲ,B-TRS
ಸಂಗ್ರಹಣೆಗಾದ್,I-TRS
ಕೇಂದ್ರ,B-ORG
ರಕ್ಷಣಾ,I-ORG
ಇಲಾಖೆದ,I-ORG
ಮುಖೇನ,O
ಪಾದೂರುದ,B-LOC
ಕಚ್ಛಾ,B-ORG
ತೈಲ,I-ORG
ಸಂಗ್ರಹಣಾ,I-ORG
ಘಟಕನ್,I-ORG
ಅನುಷ್ಟಾನಗ್,B-POL
ಕಂದೇರ್,O
",",O
ಅವೆನ್,O
ರಕ್ಷಣಾ,B-ORG
ಇಲಾಖೆರ್ದ್,I-ORG
ಪ್ರತ್ಯೇಕ,O
ಮಲ್ತ್ದ್,O
",",O
ಪೆಟ್ರೋಲಿಯಂ,B-ORG
ಇಲಾಖೆಗ್,I-ORG
ಕೊರ್ತೆರ್,O
.,O
ಅಲ್ಪರ್ದ್,O
ಕುಡ,O
ಖಾಸಗಿದಕ್ಲೆಗ್,B-ACD
ಗುತ್ತಿಗೆ,O
ಆಧಾರಡ್,O
ಕೊರ್ಪಿನವು,O
ಖಂಡನೀಯ,B-POL
ಪಂದ್,O
ಮಾಜಿ,B-ROL
ಸಚಿವ,I-ROL
ವಿನಯ,B-PER
ಕುಮಾರ್,I-PER
ಸೊರಕೆ,I-PER
ಪಂಡೆರ್,O
.,O
ಕಾಪು,B-LOC
ನಗರ,B-ORG
ಕಾಂಗ್ರೆಸ್,I-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಮಹಮ್ಮದ್,B-PER
ಸಾದಿಕ್,I-PER
ದೀನಾರ್,I-PER
",",O
ಕಾಂಗ್ರೆಸ್,B-ORG
ಅಲ್ಪಸಂಖ್ಯಾತ,I-ORG
ವಿಭಾಗದ,I-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಸಂಶುದ್ದೀನ್,B-PER
ಶೇಖ್,I-PER
",",O
ಕಾಪು,B-LOC
ಬ್ಲಾಕ್,B-ORG
ಕಾಂಗ್ರೆಸ್,I-ORG
ಕೋಶಾಧಿಕಾರಿ,B-ROL
ಹರೀಶ್,B-PER
ನಾಯಕ್,I-PER
",",O
ಕಾಪು,B-LOC
ಗ್ರಾಮೀಣ,B-GPE
ಕಾಂಗ್ರೆಸ್,B-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ನಾಗೇಶ್,B-PER
ಸುವರ್ಣ,I-PER
",",O
ಮಜೂರು,B-LOC
ಗ್ರಾಮೀಣ,B-ORG
ಕಾಂಗ್ರೆಸ್,I-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ನಾಗಭೂಷಣ,B-PER
ರಾವ್,I-PER
ಪಾಲ್ಪಡೆದಿತ್ತೆರ್,O
.,O
ಸಹಕಾರಿ,B-ROL
ನೌಕರೆರೆನ್,I-ROL
ಫ್ರಂಟ್ಲೈನ್,B-MED
ವಾರಿಯರ್ಸ್,I-MED
ಆದ್,O
ಘೋಷಣೆ,B-ACD
ಮಲ್ಪರೆ,O
ಮನವಿ,B-ACD
ಕೊರೋನದ,B-MED
ಸಂಕಷ್ಟದ,O
ಪೊರ್ತುಡು,B-DATE
ಸೇವೆ,B-ACD
ಮಲ್ತೊಂದು,O
ಉಪ್ಪುನ,O
ಸಹಕಾರ,B-ORG
ಸಂಘದ,I-ORG
ನೌಕರೆರೆನ್,B-ROL
ಫ್ರಂಟ್‌ಲೈನ್,B-MED
ವಾರಿಯರ್ಸ್,I-MED
ಪಂದ್,O
ಪರಿಗಣಿಸಾವೊಡು,O
ಅಂಚನೆ,O
ಸುರುತ್ತ,O
ಪ್ರಾಶಸ್ಯ,O
ಕೊರ್ದು,O
ವ್ಯಾಕ್ಸಿನೇಷನ್,B-MED
ಬೊಕ್ಕ,O
ವಿಮಾ,B-MED
ಭದ್ರತೆ,I-MED
ಕೊರೊಡು,O
ಪಂದ್,O
ಸಂಬಂಧಪಟ್ಟಿನ,O
ಸಚಿವೆರ್,B-ROL
",",O
ಅಧಿಕಾರಿಲೆಗ್,B-ROL
ಒಡಿಪು,B-LOC
ಜಿಲ್ಲಾ,B-ORG
ಸಹಕಾರಿ,I-ORG
ಯೂನಿಯನ್,I-ORG
ಗುರ್ಕಾರ್ಲು,B-ROL
ಬೊಕ್ಕ,O
ರಾಜ್ಯ,B-ORG
ಸಹಕಾರ,I-ORG
ಮಹಾಮಂಡಳದ,I-ORG
ನಿರ್ದೇಶಕ,B-ROL
ಜಯಕರ,B-PER
ಶೆಟ್ಟಿ,I-PER
ಇಂದ್ರಾಳಿ,I-PER
ಮನವಿ,B-ACD
ಮಲ್ತೆರ್,O
.,O
ಒಡಿಪು,B-LOC
ಜಲ್ಲೆದ,B-GPE
ಸಮಸ್ತ,O
ಸಹಕಾರಿಲೆನ,B-ROL
ಪರವಾದ್,O
ಸಹಕಾರ,B-ROL
ಸಚಿವ,I-ROL
ಎಸ್.,B-PER
ಟಿ.ಸೋಮಶೇಖರ್,I-PER
",",O
ಜಿಲ್ಲಾ,B-ROL
ಉಸ್ತುವಾರಿ,I-ROL
ಸಚಿವ,I-ROL
ಬಸವರಾಜ,B-PER
ಬೊಮ್ಮಾಯಿ,I-PER
",",O
ಕರ್ನಾಟಕ,B-ORG
ರಾಜ್ಯ,I-ORG
ಸಹಕಾರ,I-ORG
ಮಹಾಮಂಡಳದ,I-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಜಿ.ಟಿ.ದೇವೇಗೌಡ,B-PER
",",O
ಒಡಿಪು,B-LOC
ಶಾಸಕ,B-ROL
ರಘುಪತಿ,B-PER
ಭಟ್,I-PER
",",O
ದಕ್ಷಿಣ,B-LOC
ಕನ್ನಡ,I-LOC
ಜಿಲ್ಲಾ,B-ORG
ಕೇಂದ್ರ,I-ORG
ಸಹಕಾರಿ,I-ORG
ಬ್ಯಾಂಕ್ದ,I-ORG
ಗುರ್ಕಾರ್ಲಾಯಿನ,B-ROL
ಎಂ.ಎನ್.ರಾಜೇಂದ್ರಕುಮಾರ್,B-PER
",",O
ಜಿಲ್ಲಾಧಿಕಾರಿ,B-ROL
ಜಿ.,B-PER
ಜಗದೀಶ್,I-PER
ಮೆಕ್ಲೆಗ್,O
ಬಿನ್ನಾಪು,O
ಮಲ್ದೆರ್,O
.,O
ಒಡಿಪು,B-LOC
ಜಿಲ್ಲಾಧಿಕಾರಿ,B-ROL
ಜಿ.ಜಗದೀಶ್,B-PER
ಒಟ್ಟುಗು,O
ಪ್ರಧಾನ,B-ROL
ಮಂತ್ರಿ,I-ROL
ನರೇಂದ್ರ,B-PER
ಮೋದಿ,I-PER
ವೀಡಿಯೊ,B-ACD
ಸಂವಾದ,I-ACD
ದೇಶಡ್,B-GPE
ಜಾಸ್ತಿ,O
ಕೋವಿಡ್,B-MED
ಪಾಸಿಟಿವಿಟಿ,I-MED
ಉಪ್ಪುನ,O
ಜಿಲ್ಲೆದ,B-GPE
ಜಿಲ್ಲಾಧಿಕಾರಿಲೆನ,B-ROL
ಒಟ್ಟುಗು,O
ಪ್ರಧಾನ,B-ROL
ಮಂತ್ರಿ,I-ROL
ನರೇಂದ್ರ,B-PER
ಮೋದಿ,I-PER
ಇನಿ,B-DATE
ನಡಪಾಯಿನ,O
ವೀಡಿಯೊ,B-ACD
ಸಂವಾದಡ್,I-ACD
ಒಡಿಪು,B-LOC
ಜಿಲ್ಲಾಧಿಕಾರಿ,B-ROL
ಜಿ.ಜಗದೀಶ್,B-PER
ಪಾಲ್ಪಡೆದ್,O
ಇತ್ತೆರ್,O
.,O
ಜಾಸ್ತಿ,O
ಪಾಸಿಟಿವಿಟಿ,B-MED
ಉಪ್ಪುನ,O
ಜಿಲ್ಲೆಡ್,B-GPE
ಕೋವಿಡ್,B-MED
ನಿಯಂತ್ರಣದ,I-MED
ಬಗ್ಗೆ,O
ಜಿಲ್ಲಾಧಿಕಾರಿಲು,B-ROL
ಇತ್ತೆ,O
ಮುಟ,O
ದೈದಿನ,O
ಕ್ರಮತ,B-POL
ಬಗ್ಗೆ,O
ಪರಿಶೀಲನೆ,B-POL
ಮಲ್ತಿನ,O
ಪ್ರಧಾನ,B-ROL
ಮಂತ್ರಿಲು,I-ROL
ನನ,O
ದುಂಬು,O
ದೆತೊನೊಡಾಯಿನ,O
ಕ್ರಮತ,B-POL
ಬಗ್ಗೆ,O
ವೀಡಿಯೊ,B-ACD
ಸಂವಾದದ,I-ACD
ಮುಖೇನ,O
ಮಾತಾ,O
ಜಿಲ್ಲಾಧಿಕಾರಿಲೆಗ್,B-ROL
ಸಲಹೆ,O
ಕೊರಿಯೆರ್,O
.,O
ಒಡಿಪುಡು,B-LOC
ಕೋವಿಡ್ಗ್,B-MED
ನಾಲ್,O
ಜನ,B-COM
ಬಲಿ,B-MED
ಕೊರೋನ,B-MED
ಸೋಂಕುಗ್,I-MED
ಅಂಗಾರೆ,B-DATE
32,B-NUM
ವರ್ಷದ,B-DATE
ಆನ್,B-FAM
ಬೊಕ್ಕ,O
45,B-NUM
ವರ್ಷದ,B-DATE
ಪೊಣ್ಣು,B-FAM
ಸೇರಿನoಚ,O
ನಾಲ್,O
ಜನನ್,B-COM
ಬಲಿ,B-MED
ದೆತೊದುಂಡು,O
.,O
ಇತ್ತೆ,O
ಒಡಿಪುಡು,B-LOC
ಕೊರೋನ,B-MED
ಸಾಂಕ್ರಾಮಿಕಗ್,I-MED
ತೀರ್ಪೋಯಿನಕ್ಲೆನ,B-FAM
ಸಂಖ್ಯೆ,O
275ಕ್ಕ್,B-NUM
ಏರ್ದುಂಡು,O
ದಿನಟ್,B-DATE
ಸೋಂಕುಗು,B-MED
ಪಾಸಿಟಿವ್,B-MED
ಬತ್ತಿನಕ್ಲೆನ,O
ಸಂಖ್ಯೆ,O
737ಕ್ಕ್,B-NUM
ಬೈದುಂಡು,O
ಪಂದ್,O
ಜಿಲ್ಲಾ,B-ORG
ಆರೋಗ್ಯ,I-ORG
ಬೊಕ್ಕ,O
ಕುಟುಂಬ,B-ORG
ಕಲ್ಯಾಣಾಧಿಕಾರಿ,B-ROL
ಸುಧೀರ್,B-PER
ಚಂದ್ರ,I-PER
ಸೂಡ,I-PER
ತೆರಿಪಾದೆರ್,O
.,O
ಈ,O
ಪುಟೊಟು,B-ACD
ಸದ್ಯಗ್,O
ಒವ್ವೇ,O
ಬರವುಲಾ,B-ACD
ಇಜ್ಜಿ,O
",",O
ಈರ್,O
ಬೇತೆ,O
ಪುಟೊಟು,B-ACD
ಈ,O
ಲೇಕನೊನು,B-ACD
ನಾಡೊಲಿ,O
ಸಂಬಂದೊ,O
ಇತ್ತಿನ,O
ದಾಕಲೆನ್,B-ACD
ನಾಡ್‍ಲೆ,O
",",O
ಈ,O
ಪುಟೊನು,B-ACD
ಸಂಪೊಲಿಪೊಲಿ,O
.,O
೨೦೧೭ನೆ,B-NUM
ಇಸವಿಡ್,B-DATE
ನಡತ್‍ನಂಚಿನ,O
ಬುಕ್ಕೊ,O
ನಡಪುನಂಚಿನ,O
ದಿನೊ,B-DATE
ದಿನೊತ,I-DATE
ವಿವರೊಲೆನ್,O
ಇತ್ತೆದ,O
ಸಂಗತಿಲು,O
ಪುಟೊಡು,B-ACD
ತೂವೊಂದುಲ್ಲೊ,O
.,O
ಗ್ರೆಗೊರಿಯನ್,B-ORG
ಕ್ಯಾಲೆಂಡರ್,I-ORG
ಪ್ರಕಾರೊ,O
ವರ್ಸೊದ,B-DATE
೨೧ನೆ,B-NUM
ಸತಮಾನೊದ,I-DATE
",",O
ಮೂಜನೆ,O
ಮಿಲಾನಿಯಮ್‍ದ,O
೧೭ನೆ,B-NUM
ವರ್ಸೊದ,B-DATE
ಸುರುತ,O
ದಿನೊ,B-DATE
ಐತಾರೊ,I-DATE
(,O
ಡೊಮಿನಿಕಲ್,B-ACD
ಲೆಟರ್,I-ACD
ಎ,O
),O
.,O
೨೦೧೭ನೆ,B-NUM
ವರ್ಸೊನು,B-DATE
ಇಂಚ,O
ಗೊತ್ತು,O
ಮಲ್ತೆರ್,O
•,O
ತುಳುವೆರೆಗ್,B-ROL
೨೦೧೭ನೆ,B-NUM
ವರ್ಸೊ,B-DATE
ಸುರು,O
ಆಪುನೆ,O
ಪಗ್ಗು,B-DATE
ತಿಂಗೊಳ್ದ,I-DATE
ಬಿಸುಡ್ದು,I-DATE
ಬುಕ್ಕೊ,O
•,O
ಯುನೈಟೆಡ್,B-ORG
ನೇಷನ್ಸ್,I-ORG
ಜನರಲ್,I-ORG
ಅಸೆಂಬ್ಲಿ,I-ORG
ಅಂತರರಾಷ್ಟ್ರೀಯ,I-ORG
ಸುಸ್ಥಿರ,I-ORG
ಪ್ರವಾಸೋದ್ಯಮ,I-ORG
ಅಭಿವೃದ್ಧಿ,I-ORG
ವರ್ಸೊ,B-DATE
ಪಂಡ್‍ದ್,O
ಗೋಸನೆ,O
ಆದ್ಂಡ್,O
•,O
ಪಗ್ಗು,B-DATE
1,B-NUM
(,O
ಏಪ್ರಿಲ್,B-DATE
14,B-NUM
),O
-,O
ಸುರೂತ,O
ದಿನೊ,B-DATE
.,O
ತಿಂಗೊಲ್ದ,B-DATE
ಉದಯೊ,O
.,O
ತುಳುತ,B-ACD
ಸುರೂತ,O
ತಿಂಗೊಲು,B-DATE
•,O
ಪಗ್ಗು,B-DATE
18,B-NUM
(,O
ಮೇ,B-DATE
1,B-NUM
),O
-,O
ಕಾರ್ಮಿಕೆರೆ,B-FUN
ದಿನಾಚರಣೆ,I-FUN
•,O
ಪಗ್ಗು,B-DATE
27,B-NUM
(,O
ಮೇ,B-DATE
10,B-NUM
),O
ಬುದ್ಧ,B-FUN
ಪುಣ್ಣಮೆ,I-FUN
ಪಗ್ಗು,B-DATE
31,B-NUM
(,O
ಮೇ,B-DATE
14,B-NUM
),O
ಸಂಕ್ರಮಣೊ,B-FUN
.,O
ಚೆಳ್ಯಾರು,B-LOC
ಕಂಡಿಗೆ,I-LOC
(,O
ತೆಲಾರ್,B-LOC
ಕಂಡೇವು,I-LOC
),O
ಉಳ್ಳಾಕ್ಲೆ,B-FUN
ಜಾತ್ರೆ,I-FUN
.,O
[,O
1,B-NUM
],O
",",O
ಉಳ್ಳಾಕ್ಲೆ,B-FUN
ಕಂಡೇವು,I-FUN
ಜಾತ್ರೆದ,I-FUN
ಅಕೇರಿಗ್,O
ಮೀನ್,B-LEF
ಪತ್ತುನ,O
ಜಾತ್ರೆ,B-FUN
ಆಪುಂಡು,O
•,O
ಬೇಸ,B-DATE
1,B-NUM
(,O
ಮೇ,B-DATE
15,B-NUM
),O
-,O
ಸುರೂತ,O
ದಿನೊ,B-DATE
.,O
ತಿಂಗೊಲ್ದ,B-DATE
ಉದಯೊ,O
.,O
•,O
ಬೇಸ,B-DATE
10,B-NUM
(,O
ಮೇ,B-DATE
24,B-NUM
),O
-,O
ಪತ್ತನಾಜೆ,B-FUN
.,O
ಜಾತ್ರೆಲೆನ,B-FUN
ಅಕೇರಿದ,O
ದಿನೊ,B-DATE
.,O
ಸುಳ್ಯೊ,B-LOC
ಮಂಡೆಕೋಲು,I-LOC
ಗ್ರಾಮೊದ,B-GPE
ಪೇರಾಲ್,B-LOC
ಬಜಪಿಲ್,I-LOC
ಉಳ್ಳಾಕ್ಲೆ,B-FUN
ನೇಮೊ,I-FUN
.,O
•,O
ಬೇಸ,B-DATE
11,B-NUM
(,O
ಮೇ,B-DATE
25,B-NUM
),O
-,O
ಅಮಾಸೆ,B-FUN
.,O
ಉಳ್ಳಾಲ,B-LOC
ಮಲರಾಯ,B-PER
ಅಕೇರಿದ,O
ಬಂಡಿ,B-FUN
.,O
•,O
ಜೂನ್,B-DATE
16,B-NUM
-,O
ಕಾರ್ತೆಲ್,B-DATE
1,B-NUM
-,O
ಸುರೂತ,O
ದಿನೊ,B-DATE
.,O
ತಿಂಗೊಲ್ದ,B-DATE
ಉದಯೊ,O
.,O
•,O
ಜೂನ್,B-DATE
26,B-NUM
ರಂಜ಼ಾನ್,B-FUN
ಪರ್ಬೊದ,I-FUN
ದಿನೊ,B-DATE
•,O
ಜೂನ್,B-DATE
27,B-NUM
:,O
ಪೆಟ್ಯಾ,B-ACD
ಮಾಲ್ವೇರ್,I-ACD
